Epoch,Training Loss,Validation Loss
0,1.2,1.1
10,1.05,1.0
20,0.9,0.9
30,0.75,0.8
40,0.68,0.7
50,0.6,0.6
60,0.5,0.5
70,0.4,0.45
80,0.3,0.4
90,0.25,0.3
